k,N,branch_j,always_neg_js,y1_min,a_at_min,cls_min,y1_max,a_at_max,cls_max,y1_limit
2,25,2,1,-1977.4900120784378,50.10487142071969,interior (finite),-1814.5610759761882,3393221.77189533,right edge of {b>0} a~3.39e+06,-1814.5588461530278
2,26,0,1,-17.385641026198268,100000000.0,a->inf (asymptotic),-17.385373568291463,0.5150919396134438,interior (finite),-17.38564102620379
2,26,2,1,-2049.274847433579,0.038320694675885815,interior (finite),-1886.616843305552,3175416.669394373,right edge of {b>0} a~3.18e+06,-1886.6143589738133
2,27,0,1,-17.334249084676134,100000000.0,a->inf (asymptotic),-17.33401064742903,0.5150919396134438,interior (finite),-17.334249084681062
2,27,2,1,-2121.7835091849756,0.03701376720901127,interior (finite),-1958.6682249655037,3319008.795914677,right edge of {b>0} a~3.32e+06,-1958.6657509152058
2,28,0,1,-17.28653530410707,100000000.0,a->inf (asymptotic),-17.28632183631076,0.5150919396134438,interior (finite),-17.286535304111467
2,28,2,1,-2192.7540672239757,0.03546663030385149,interior (finite),-2030.7162737775243,3038036.8490372826,right edge of {b>0} a~3.04e+06,-2030.7134646957552
2,29,0,1,-17.24211822685884,100000000.0,a->inf (asymptotic),-17.241926360272544,0.5150919396134438,interior (finite),-17.24211822686279
2,29,2,1,-2265.0757676055605,0.03430948235399904,interior (finite),-2102.760579972275,3282513.210548938,right edge of {b>0} a~3.28e+06,-2102.757881773327
2,30,0,1,-17.200667408434256,100000000.0,a->inf (asymptotic),-17.200494324147176,0.5150919396134438,interior (finite),-17.200667408437816
2,30,2,1,-2337.546090157516,0.03325982478097622,interior (finite),-2174.8024217546504,2971592.1039359313,right edge of {b>0} a~2.97e+06,-2174.799332592185
3,1,0,1,-280.4012490526544,5.996684007122172,right edge of {b>0} a~6,-180.41233155478042,0.7009620775969962,interior (finite),-203.9999999999987
3,1,2,1,-1097.2576997524059,1.5391286059339593,interior (finite),-265.55184201454585,0.11396958698372966,left edge of {b>0} a~0.114,-203.99999999999872
3,2,0,1,-97.657148749245,100000000.0,a->inf (asymptotic),-95.21730388822627,0.5208188264978441,interior (finite),-97.65714880828403
3,2,2,1,-1753.16592337406,0.5504226266965718,interior (finite),-646.3429328982768,30973936.13591363,right edge of {b>0} a~3.1e+07,-646.3428511917174
3,3,0,1,-74.82906366577588,100000000.0,a->inf (asymptotic),-74.2818541055209,0.46630220272605766,interior (finite),-74.82906367658782
3,3,2,1,-2087.4652502402882,0.3460883604505632,interior (finite),-1005.1712051612743,17819698.84536313,right edge of {b>0} a~1.78e+07,-1005.1709363234115
3,4,0,1,-64.60898358404067,100000000.0,a->inf (asymptotic),-64.4037397608481,0.43637106179610935,interior (finite),-64.6089835877408
3,4,2,1,-2425.040437353496,0.255368085106383,interior (finite),-1351.3915505412463,13666404.211242331,right edge of {b>0} a~1.37e+07,-1351.3910164122763
3,5,0,1,-58.70690691604336,100000000.0,a->inf (asymptotic),-58.60862971367652,0.41803892365456824,interior (finite),-58.70690691772024
3,5,2,1,-2758.3956961018503,0.20218723404255318,interior (finite),-1693.2939164272307,12101330.809718024,right edge of {b>0} a~1.21e+07,-1693.293093082293
3,6,0,1,-54.84278297038651,100000000.0,a->inf (asymptotic),-54.78835467792807,0.4049001251564456,interior (finite),-54.84278297128116
3,6,2,1,-3094.3780941071195,0.16777609511889863,interior (finite),-2033.1584726757558,10139169.910756838,right edge of {b>0} a~1.01e+07,-2033.1572170287254
3,7,0,1,-52.11035007582181,100000000.0,a->inf (asymptotic),-52.077131445072986,0.395515269086358,interior (finite),-52.110350076353164
3,7,2,1,-3429.8569633602715,0.14337546933667084,interior (finite),-2371.8916524643296,7776000.906038012,right edge of {b>0} a~7.78e+06,-2371.88964992372
3,8,0,1,-50.073686251412774,100000000.0,a->inf (asymptotic),-50.05195088584311,0.388633041301627,interior (finite),-50.073686251753266
3,8,2,1,-3768.599497709785,23.886430789845956,interior (finite),-2709.928936890653,7039454.652710135,right edge of {b>0} a~7.04e+06,-2709.926313748276
3,9,0,1,-48.496082032230035,100000000.0,a->inf (asymptotic),-48.48109561198892,0.3830021276595745,interior (finite),-48.49608203246097
3,9,2,1,-4104.327743529992,0.11146695869837298,interior (finite),-3047.5073891895345,6164757.056337148,right edge of {b>0} a~6.16e+06,-3047.503917967541
3,10,0,1,-47.237584315686284,100000000.0,a->inf (asymptotic),-47.22682034988222,0.3779968710888611,interior (finite),-47.23758431584994
3,10,2,1,-4440.709660916519,0.10027680317396576,interior (finite),-3384.7666388810685,5769051.843765988,right edge of {b>0} a~5.77e+06,-3384.7624156843426
3,11,0,1,-46.21002288062263,100000000.0,a->inf (asymptotic),-46.20203415743887,0.37424292866082604,interior (finite),-46.21002288074278
3,11,2,1,-4777.0420541238045,32.91599311301586,interior (finite),-3721.794414072181,6164757.056337148,right edge of {b>0} a~6.16e+06,-3721.7899771198204
3,12,0,1,-45.35503887699053,100000000.0,a->inf (asymptotic),-45.348948407833795,0.3711146433041302,interior (finite),-45.35503887708129
3,12,2,1,-5111.733186781753,35.960219081274836,interior (finite),-4058.6514541884867,4675929.420234751,right edge of {b>0} a~4.68e+06,-4058.644961123504
3,13,0,1,-44.632444849766216,100000000.0,a->inf (asymptotic),-44.62769625287862,0.3679863579474343,interior (finite),-44.63244484983642
3,13,2,1,-5449.063820961671,0.0770558197747184,interior (finite),-4395.374616467992,4727917.263199688,right edge of {b>0} a~4.73e+06,-4395.36755515052
3,14,0,1,-44.013651916833446,100000000.0,a->inf (asymptotic),-44.009878496174636,0.36610938673341675,interior (finite),-44.01365191688884
3,14,2,1,-5783.745475145164,41.98065590301293,interior (finite),-4731.995441564074,4005355.3891270244,right edge of {b>0} a~4.01e+06,-4731.98634808326
3,15,0,1,-43.477761292405305,100000000.0,a->inf (asymptotic),-43.47471346589045,0.36360675844806006,interior (finite),-43.47776129244977
3,15,2,1,-6118.838851089497,0.06660846290809154,interior (finite),-5068.532425576026,3874675.1204561284,right edge of {b>0} a~3.87e+06,-5068.522238708249
3,16,0,1,-43.00913839673927,100000000.0,a->inf (asymptotic),-43.00664154604502,0.36172978723404253,interior (finite),-43.00913839677551
3,16,2,1,-6453.129297034236,0.06233297958681597,interior (finite),-5405.002985965149,3507664.175200362,right edge of {b>0} a~3.51e+06,-5404.990861602271
3,17,0,1,-42.59585176125454,100000000.0,a->inf (asymptotic),-42.59378076627005,0.3604784730913642,interior (finite),-42.595851761284464
3,17,2,1,-6786.4831391038615,51.22521542939979,interior (finite),-5741.4171464556275,3507664.175200362,right edge of {b>0} a~3.51e+06,-5741.40414823969
3,18,0,1,-42.228636891099605,100000000.0,a->inf (asymptotic),-42.22690021044968,0.35922715894868584,interior (finite),-42.22863689112459
3,18,2,1,-7124.9772004117485,54.13690173096052,interior (finite),-6077.787031431025,3105967.2974239993,right edge of {b>0} a~3.11e+06,-6077.7713631101005
3,19,0,1,-41.90018988730763,100000000.0,a->inf (asymptotic),-41.898719301687585,0.35761964567123944,interior (finite),-41.90018988732873
3,19,2,1,-7464.830543493731,0.05265519399249062,interior (finite),-6414.116841835051,3038036.8490372826,right edge of {b>0} a~3.04e+06,-6414.099810114938
3,20,0,1,-41.60467446066812,100000000.0,a->inf (asymptotic),-41.603418294596835,0.35672453066332915,interior (finite),-41.604674460686056
3,20,2,1,-7799.747148933065,0.04996656239010231,interior (finite),-6750.413371979128,3038036.8490372826,right edge of {b>0} a~3.04e+06,-6750.39532553773
3,21,0,1,-41.33737068107692,100000000.0,a->inf (asymptotic),-41.33628921321396,0.35547321652065084,interior (finite),-41.33737068109231
3,21,2,1,-8137.219098571387,0.04764993742177723,interior (finite),-7086.683454938217,2780850.6887565623,right edge of {b>0} a~2.78e+06,-7086.662629318382
3,22,0,1,-41.094420064352526,100000000.0,a->inf (asymptotic),-41.09348235861563,0.35422190237797246,interior (finite),-41.09442006436583
3,22,2,1,-8471.457905600882,66.05838794552206,interior (finite),-7422.927761010018,2750272.6517758192,right edge of {b>0} a~2.75e+06,-7422.905579939946
3,23,0,1,-40.872637499496896,100000000.0,a->inf (asymptotic),-40.87181917280278,0.3535962453066333,interior (finite),-40.872637499508485
3,23,2,1,-8807.80331653649,69.04554377014945,interior (finite),-7759.15118986812,2690121.5823888993,right edge of {b>0} a~2.69e+06,-7759.127362503716
3,24,0,1,-40.66937041418443,100000000.0,a->inf (asymptotic),-40.668652039931835,0.35297058823529415,interior (finite),-40.66937041419456
3,24,2,1,-9141.907738375634,72.16777857865961,interior (finite),-8095.358221974528,2435312.0734334076,right edge of {b>0} a~2.44e+06,-8095.330629587149
3,25,0,1,-40.48239188534987,100000000.0,a->inf (asymptotic),-40.481757831804984,0.3517192740926158,interior (finite),-40.48239188535881
3,25,2,1,-9473.997127905603,75.43120063354607,interior (finite),-8431.54553178791,2517447.2786209667,right edge of {b>0} a~2.52e+06,-8431.517608116552
3,26,0,1,-40.309818513684945,100000000.0,a->inf (asymptotic),-40.30925608837891,0.3510936170212766,interior (finite),-40.30981851369287
3,26,2,1,-9817.127255186497,77.97525123353554,interior (finite),-8767.721683921276,2329951.810515372,right edge of {b>0} a~2.33e+06,-8767.690181484255
3,27,0,1,-40.15004661451045,100000000.0,a->inf (asymptotic),-40.14954542547209,0.3505310387984981,interior (finite),-40.150046614517485
3,27,2,1,-10152.190004937835,0.03701376720901127,interior (finite),-9103.886627310574,2086064.4934719524,right edge of {b>0} a~2.09e+06,-9103.849953384903
3,28,0,1,-40.001702127961515,100000000.0,a->inf (asymptotic),-40.001253601060775,0.34984230287859824,interior (finite),-40.00170212796779
3,28,2,1,-10485.395380988903,84.25006179601205,interior (finite),-9440.038186913305,1995813.9231676972,right edge of {b>0} a~2e+06,-9439.998297860695
3,29,0,1,-39.863600924882164,100000000.0,a->inf (asymptotic),-39.863197935209946,0.3492166458072591,interior (finite),-39.8636009248878
3,29,2,1,-10823.658696921908,87.09154408001503,interior (finite),-9776.175185372285,2132708.857397316,right edge of {b>0} a~2.13e+06,-9776.13639907251
3,30,0,1,-39.734717074561104,100000000.0,a->inf (asymptotic),-39.73435366221971,0.3492166458072591,interior (finite),-39.73471707456618
3,30,2,1,-11160.536312712638,90.02886037764561,interior (finite),-10112.310732552749,1888471.539788779,right edge of {b>0} a~1.89e+06,-10112.265282916982
4,1,0,1,-583.92045119284,86611394.28673345,a->inf (asymptotic),-368.8186029561243,0.582065832290363,interior (finite),-584.0
4,1,2,1,-5328.99220845346,2.0025630788485613,interior (finite),-584.0831821654557,79279273.89450574,a->inf (asymptotic),-584.0000000000002
4,2,0,1,-203.33357998135548,100000000.0,a->inf (asymptotic),-199.2088848193612,0.4330546933667084,interior (finite),-203.3335800641838
4,2,2,1,-6343.40309749672,7.4808264552250785,interior (finite),-2004.666956595388,20803061.40048093,right edge of {b>0} a~2.08e+07,-2004.6664199358215
4,3,0,1,-153.21789511612567,100000000.0,a->inf (asymptotic),-152.24393648175052,0.3804994993742178,interior (finite),-153.21789513198118
4,3,2,1,-7406.686569665702,0.34296007509386733,interior (finite),-3094.7835515299575,15096335.834479587,right edge of {b>0} a~1.51e+07,-3094.7821048680285
4,4,0,1,-130.0486599667273,100000000.0,a->inf (asymptotic),-129.67920990051684,0.3517192740926158,interior (finite),-130.0486599721432
4,4,2,1,-8445.75423342456,0.253841031996403,interior (finite),-4157.954736883658,10027680.317396544,right edge of {b>0} a~1e+07,-4157.951340027888
4,5,0,1,-116.53066750306016,100000000.0,a->inf (asymptotic),-116.35332563025422,0.3342008760951189,interior (finite),-116.53066750549479
4,5,2,1,-9478.826608028618,0.20156157697121402,interior (finite),-5211.474841299014,8589612.842725676,right edge of {b>0} a~8.59e+06,-5211.469332494567
4,6,0,1,-107.63851278691182,100000000.0,a->inf (asymptotic),-107.5403257345032,0.32168773466833545,interior (finite),-107.63851278819965
4,6,2,1,-10527.358224011712,0.16777609511889863,interior (finite),-6260.370099357407,7117720.603744425,right edge of {b>0} a~7.12e+06,-6260.361487211949
4,7,0,1,-101.3343202559763,100000000.0,a->inf (asymptotic),-101.27447075605505,0.3123028785982478,interior (finite),-101.33432025673523
4,7,2,1,-11562.502675198928,0.14337546933667084,interior (finite),-7306.677187278363,6587604.097322512,right edge of {b>0} a~6.59e+06,-7306.665679743382
4,8,0,1,-96.62795473875568,100000000.0,a->inf (asymptotic),-96.58885660067523,0.3054206508135169,interior (finite),-96.62795473923867
